date,open,high,low,close,volume
2021-01-04,19.0,19.1,17.15,17.25,10022474
2021-01-05,17.35,18.0765,17.23,17.37,4961457
2021-01-06,17.34,18.98,17.33,18.36,6056248
2021-01-07,18.47,19.45,18.02,18.08,6129276
2021-01-08,18.18,18.3,17.08,17.69,6481960
2021-01-11,19.41,20.65,19.01,19.94,14927612
2021-01-12,19.96,20.4,19.3168,19.95,7060665
2021-01-13,20.42,38.65,20.03,31.4,144501740
2021-01-14,38.09,43.06,33.05,39.91,93717410
2021-01-15,38.49,40.75,34.01,35.5,46782763
2021-01-19,41.55,45.52,36.64,39.36,74721924
2021-01-20,37.37,41.1899,36.06,39.12,33471789
2021-01-21,39.23,44.75,37.0,43.03,57079754
2021-01-22,42.59,76.7573,42.32,65.01,197157950
2021-01-25,96.73,159.18,61.13,76.79,177874000
2021-01-26,88.56,150.0,80.2,147.98,178587970
2021-01-27,354.83,380.0,249.0,347.51,93396666
2021-01-28,265.0,483.0,112.25,193.6,58815805
2021-01-29,379.71,413.98,250.0,325.0,50392943
2021-02-01,316.56,322.0,212.0,225.0,37382152
2021-02-02,140.76,158.0,74.2201,90.0,78183071
2021-02-03,112.01,113.3999,85.25,92.41,42698511
2021-02-04,91.19,91.5,53.33,53.5,62427275
2021-02-05,54.04,95.0,51.09,63.77,81124401
2021-02-08,72.41,72.66,58.02,60.0,25687282
2021-02-09,56.61,57.0,46.52,50.31,26843082
2021-02-10,50.77,62.83,46.55,51.2,36455036
2021-02-11,50.01,55.32,48.2201,51.1,13056725
2021-02-12,50.75,55.24,48.05,52.4,14515109
2021-02-16,52.66,53.5,49.04,49.51,8175030
2021-02-17,49.77,51.19,44.56,45.94,9260795
2021-02-18,48.49,48.87,40.65,40.69,23990555
2021-02-19,41.28,43.89,38.5,40.59,14828238
2021-02-22,46.69,48.51,42.4,46.0,19476021
2021-02-23,44.97,46.23,40.0,44.97,7565215
2021-02-24,44.7,91.71,44.7,91.71,83111740
2021-02-25,169.56,184.68,101.0,108.73,150308770
2021-02-26,117.46,142.9,86.0,101.74,92194154
2021-03-01,104.54,133.99,99.97,120.4,49793965
2021-03-02,116.93,133.2,112.2,118.18,33783044
2021-03-03,122.51,127.75,113.12,124.18,19273882
2021-03-04,125.0,147.8699,115.3,132.35,32520972
2021-03-05,128.17,151.53,127.5,137.74,30733673
2021-03-08,154.89,210.8699,146.1,194.5,63565620
2021-03-09,217.71,249.85,208.5101,246.9,39099331
2021-03-10,269.43,348.5,172.0,265.0,71570566
2021-03-11,241.64,281.5,232.6,260.0,28312493
2021-03-12,274.9965,295.5,262.27,264.5,25794518
2021-03-15,277.52,283.0,206.0,220.14,24226187
2021-03-16,203.16,220.7,172.35,208.17,35422867
2021-03-17,217.84,231.47,204.0,209.81,16481589
2021-03-18,214.0,218.88,195.65,201.75,11799914
2021-03-19,195.73,227.0,182.66,200.27,24677297
2021-03-22,205.26,210.3562,186.1952,194.49,10061505
2021-03-23,197.5,201.75,177.55,181.75,14429145
2021-03-24,157.98,166.97,118.62,120.34,24177877
2021-03-25,123.49,187.5,116.9,183.75,50962337
2021-03-26,197.68,218.9344,163.26,181.0,37430672
2021-03-29,180.75,193.92,173.51,179.43,6556861
