COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Mongolia,MNG,WPRO,REPORTING,2021-03-19,100004,98131,3.05,2.993,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-23,5
French Guiana,GUF,AMRO,REPORTING,2021-03-19,9015,6848,3.018,2.293,,,
Antigua and Barbuda,ATG,AMRO,REPORTING,2021-03-19,24500,24500,25.018,25.018,SII - Covishield,2021-02-19,1
Saudi Arabia,SAU,EMRO,REPORTING,2021-03-16,295530,,0.849,,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-06,3
Thailand,THA,SEARO,REPORTING,2021-03-24,120601,109153,0.173,0.156,"Janssen - Ad26.COV 2.5,Sinovac - CoronaVac",2021-02-28,2
Nigeria,NGA,AFRO,REPORTING,2021-03-24,235155,,0.114,,SII - Covishield,2021-03-06,1
Austria,AUT,EURO,REPORTING,2021-03-23,1320359,993537,14.8,11.162,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,3
China,CHN,WPRO,OWID,2021-03-23,82850000,,5.631,,"Beijing CNBG - Inactivated, Wuhan CNBG - Inactivated, Sinovac - CoronaVac",,3
New Zealand,NZL,WPRO,OWID,2021-03-24,41500,41500,0.861,0.861,Pfizer BioNTech - Comirnaty,,1
Ireland,IRL,EURO,REPORTING,2021-03-23,686240,500171,13.8,10.075,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,2021-03-19,8387,8366,7.56,7.541,AstraZeneca - AZD1222,2021-02-15,1
Aruba,ABW,AMRO,REPORTING,2021-03-19,14628,11772,13.701,11.026,Pfizer BioNTech - Comirnaty,2021-02-17,1
Spain,ESP,EURO,REPORTING,2021-03-16,6332491,4214108,13.4,8.903,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,3
Angola,AGO,AFRO,REPORTING,2021-03-24,70612,,0.215,,SII - Covishield,2021-03-04,1
Norway,NOR,EURO,REPORTING,2021-03-16,743405,487154,13.8,9.076,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3
Greenland,GRL,EURO,OWID,2021-03-01,5130,3927,9.036,6.917,Pfizer BioNTech - Comirnaty,,1
Falkland Islands (Malvinas),FLK,AMRO,OWID,2021-02-22,1732,1732,49.727,49.727,AstraZeneca - AZD1222,,1
Somalia,SOM,EMRO,REPORTING,2021-03-23,1910,,0.012,,SII - Covishield,2021-03-16,1
North Macedonia,MKD,EURO,REPORTING,2021-03-09,5231,4334,0.3,0.208,"Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2021-02-17,2
Panama,PAN,AMRO,REPORTING,2021-03-19,261892,,6.07,,Pfizer BioNTech - Comirnaty,2021-01-20,1
Azerbaijan,AZE,EURO,REPORTING,2021-03-16,156934,67962,1.5,0.67,Sinovac - CoronaVac,2021-03-10,1
Indonesia,IDN,SEARO,REPORTING,2021-03-25,9745736,6730546,3.563,2.461,"SII - Covishield,Sinovac - CoronaVac",2021-01-13,2
The United Kingdom,GBR,EURO,OWID,2021-03-23,31186362,28653523,45.9,42.208,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2
Serbia,SRB,EURO,OWID,2021-03-24,2241510,1338010,32.4,19.317,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Gamaleya - Sputnik V",,4
Malawi,MWI,AFRO,REPORTING,2021-03-24,38707,,0.202,,SII - Covishield,2021-03-11,1
Guyana,GUY,AMRO,REPORTING,2021-03-19,10357,10357,1.317,1.317,"Beijing CNBG - Inactivated,SII - Covishield",2021-02-11,2
Barbados,BRB,AMRO,REPORTING,2021-03-19,54631,54631,19.01,19.01,SII - Covishield,2021-02-10,1
